PMID,Title,Abstract,Journal,Year,Methods,Study Type
39121499,"A Systematic Review of the Use, Acceptability, Perceived Effectiveness and Effectiveness of Self-Help Toolkits.","Self-harming behaviours can include cutting the skin, ligaturing and taking overdoses. These actions can result in infection, blood loss, or even death. A young person's risk of dying by suicide increases if they engage in self-harm. Self-help empowers people to utilise different coping strategies and implement life changes without reliance on a clinical intervention, ""helping people to help themselves"". Self-help toolkits contain a variety of items that are selected by the person to help them manage the urge to self-harm. The items included sensory objects, distractions, prompts to seek help and creative prompts such as colouring books and pens and personal items that trigger positive memories. AMED, EMBASE, APA Psycinfo and MEDLINE were searched with no language restriction or date restriction. Of the 368 studies screened, 13 met the inclusion criteria. The studies were mainly small scale or case studies pertaining to the use of self-help toolkits or similar. They described the need for a flexible and/or individualised approach to self-help toolkits. Abstracts and studies were screened separately by two members of the research team for inclusion. Qualitative data was analysed using Grounded Theory. Nine themes were identified: Creativity, Hope, Social contact/help seeking, calming/relaxing, sensory items, reflection, distractions, therapeutic prompts and emotional release. Self-efficacy and self-awareness were the two main mechanisms identified. Self-help toolkits were found to be acceptable and helpful, but the limited evidence base means their efficacy for reducing self-harm episodes has not been established.",Issues in mental health nursing,2024,"Experimental, Review, Qualitative",Empirical
39119216,Aftercare Provision for Bereaved Relatives Following Euthanasia or Physician-Assisted Suicide: A Cross-Sectional Questionnaire Study Among Physicians.,,International journal of public health,2024,"Survey, Observational",Theoretical
39117361,"Medical assistance in dying for mental illness: a complex intervention requiring a correspondingly complex evaluation approach: commentary, Breen.",,The British journal of psychiatry : the journal of mental science,2024,Experimental,Theoretical
39095146,Palliative Care and Noninvasive Ventilation.,"Palliative care is important for many patients who require noninvasive ventilation. The particular needs of patients with neuromuscular disease and chronic obstructive pulmonary disease are explored. Advance care planning is explored with tips for undertaking this important communication task. Brief comments regarding symptom burden, weaning, voluntary assisted dying, and self-care are included.",Sleep medicine clinics,2024,Unclassified,Theoretical
39093520,Canada's Medical Assistance in Dying System can Enable Healthcare Serial Killing.,"The Canadian approach to assisted dying, Medical Assistance in Dying (MAiD), as of early 2024, is assessed for its ability to protect patients from criminal healthcare serial killing (HSK) to evaluate the strength of its safeguards. MAiD occurs through euthanasia or self-administered assisted suicide (EAS) and is legal or considered in many countries and jurisdictions. Clinicians involved in HSK typically target patients with the same clinical features as MAiD-eligible patients. They may draw on similar rationales, e.g., to end perceived patient suffering and provide pleasure for the clinician. HSK can remain undetected or unconfirmed for considerable periods owing to a lack of staff background checks, poor surveillance and oversight, and a failure by authorities to act on concerns from colleagues, patients, or witnesses. The Canadian MAiD system, effectively euthanasia-based, has similar features with added opportunities for killing afforded by clinicians' exemption from criminal culpability for homicide and assisted suicide offences amid broad patient eligibility criteria. An assessment of the Canadian model offers insights for enhancing safeguards and detecting abuses in there and other jurisdictions with or considering legal EAS. Short of an unlikely recriminalization of EAS, better clinical safeguarding measures, standards, vetting and training of those involved in MAiD, and a radical restructuring of its oversight and delivery can help mitigate the possibility of abuses in a system mandated to accommodate homicidal clinicians.",HEC forum : an interdisciplinary journal on hospitals' ethical and legal issues,2024,Unclassified,Theoretical
39087246,Resilience and Engagement in Crisis: Fostering Trauma-Informed Care and Patient Partnerships Into the Future.,"The COVID-19 pandemic has significantly disrupted patient engagement and exposed long-standing inequities within Canada's healthcare system. As a patient partner and caregiver, the author reflects on the exacerbated challenges during the pandemic, particularly for hardly reached communities and those managing chronic conditions. The crisis highlighted the absence of opportunities for patient partnership, with healthcare organizations halting engagement activities despite an increased need for communication and community involvement. The pandemic underlined the necessity of trauma-informed care and engagement-capable environments (ECE). To address these challenges, the author advocates for integrating trauma-informed practices with ECEs, thereby promoting a healthcare model that is both structurally supportive and responsive to individual trauma and resilience. By focusing on compassion, recognizing trauma and fostering engagement, such an approach could enhance patient outcomes and create a more adaptive, inclusive healthcare environment.",HealthcarePapers,2024,Unclassified,Theoretical
39083816,Educational intervention on perceived stress among adults with type 2 diabetes and metabolic syndrome: a non-randomized clinical trial.,"To evaluate the effectiveness of Virtual Teaching (VT) Programme regarding palliative care on knowledge, self-efficacy and attitude among Nursing Personnel working in selected hospitals of North India.",Investigacion y educacion en enfermeria,2024,Experimental,Theoretical
39075491,Nurses' opinions on euthanasia in Spain: an evaluation using a new version of the EAS.,"Bioethical dilemmas at the end of life have led to regularization processes for the provision of medical assistance in dying patients in different countries. Since the regulation of euthanasia in Spain in 2021, the euthanasia act has been included as one of the benefits of the health system, which has undergone uneven development and implementation in different autonomous communities. The aim of this study was to review the Spanish version of the Euthanasia Attitude Scale following the partial modification of four items.",BMC nursing,2024,Unclassified,Theoretical
39072234,Health concerns of intensive care survivors and research participation willingness: A multicentre survey.,"To describe the relative importance of health concerns reported by survivors of critical illness treated in the intensive care unit (ICU), their estimate of time to achieve recovery, and their reported randomised clinical trial participation willingness.",Critical care and resuscitation : journal of the Australasian Academy of Critical Care Medicine,2024,Survey,Theoretical
39060645,Assisted dying in Swedish healthcare: a qualitative analysis of physicians' reasoning about physician-assisted suicide.,"To explore Swedish physicians' arguments and values for and against physician-assisted suicide (PAS) extracted from the free-text comments in a postal survey. A random selection of approximately 240 physicians from each of the following specialties: general practice, geriatrics, internal medicine, oncology, surgery and psychiatry. All 123 palliative care physicians in Sweden. A qualitative content analysis of free-text comments in a postal questionnaire commissioned by the Swedish Medical Society in collaboration with the Karolinska Institute in Stockholm. The total response rate was 59.2%. Of the 933 respondents, 1107 comments were provided. The free-text comments entailed both normative and factual arguments for and against PAS. The analysis resulted in two main categories: (1) ""Safe implementation of PAS is unachievable"" (with subcategories ""Criteria of PAS difficult to fulfil"" and ""PAS puts societal norms and values at risk"") and (2) ""The role of PAS in healthcare"" (with subcategories ""No medical need for PAS"", ""PAS is not a task for physicians"", ""No ethical difference to other end-of-life decisions"" and ""PAS is in the patient's best interest""). The respondents brought up well-known arguments from academic and public debate on the subject. Comments from physicians against PAS were more often emotionally charged and used devices like dysphemisms and slippery-slope arguments.",Monash bioethics review,2024,"Survey, Qualitative",Empirical
39060033,Legal Implications of Psychiatric Assessment for Medical Aid in Dying.,"In recent years, several jurisdictions have passed legislation to permit medical aid in dying (MAID) worldwide, with considerable expansion in the availability of this practice. MAID has been defined as the practice of a clinician prescribing lethal drugs in response to a direct request from the patient, with a shared understanding that the patient intends to use the medication to bring about the patient's death. Wider legalization of MAID has prompted debates and legal controversies regarding the extent to which MAID should be available and its application for people experiencing mental illness as the primary indication. This article examines shifting attitudes of professional medical organizations toward MAID. We discuss the existing statutory provisions for psychiatric assessment for MAID in the United States and the implications on such assessments should MAID be expanded to include mental illness as the primary indication. This article also assesses legal disputes concerning MAID regulations and explores the role of psychiatric experts in the practice of MAID.",The journal of the American Academy of Psychiatry and the Law,2024,Unclassified,Theoretical
39054766,Tiredness of Life - Conceptualizing a Complex Phenomenon.,"A phenomenon referred to as 'tiredness of life' or 'weariness of life' appears in current discussions on the legitimacy of euthanasia for relatively healthy older adults as well as in research on suicidality more broadly. However, a consensus conceptualization of the phenomenon is lacking. In the current paper, we offer such a conceptualization by reviewing and integrating knowledge from terminology, available descriptions, and first qualitative findings. Boredom with life, aversion towards life, meaninglessness, and fatigue are identified as central components of the phenomenon. Per component, we describe how the component was identified, our definition of the component and its foundation in descriptions in the literature, and empirical studies on how the component relates to euthanasia requests and suicidality. Moreover, hypotheses on the structure of the phenomenon are outlined, such as on interactions among and the importance of the different components.",Psychological reports,2024,Qualitative,Theoretical
39048142,Isle of Man's parliament votes to progress Assisted Dying Bill.,,BMJ (Clinical research ed.),2024,Unclassified,Theoretical
39038989,What is known about the role of clinical ethics services in cancer care? A systematic/narrative literature review.,"The use of clinical ethics services (CES) has been increasing over time, but little is known about the role of CES in cancer care. Cancer diagnosis and treatment are emotionally charged and life-changing experiences, raising existential and ethical questions about the quality and meaning of, living and dying. This narrative review seeks to consolidate the available information regarding how CES are accessed and used in cancer care. The review attempts to answer the question, 'What is known about the role of CES in cancer care?' Papers included in this review were identified through searching PubMed and MEDLINE Ovid; a variety of keywords were used to ensure the capture of all relevant literature. 387 papers were identified using the search strategy, 13 papers were included in the final synthesis following the application of the inclusion and exclusion criteria. Citation searching was conducted. 11 of 13 papers were conducted in the USA, 1 in Germany and 1 in South Korea. A variety of study designs were incorporated into this review. Five key roles of CES in cancer care were identified; conflict resolution/mediation, delivery of ethics education to clinical staff, advising on specific aspects of care, guideline development/resource allocation and emotional support of clinicians. This narrative review outlines how CES can assist clinicians to reflect on, better understand and address, the complex ethical dimensions of their practice. The identified literature demonstrates that early involvement of CES may reduce conflict. More research is needed gathering information from CES directly.",BMJ supportive & palliative care,2024,Review,Theoretical
39033579,Increased COVID-19 mortality in patients with schizophrenia: A retrospective study in Brazil.,"The risk that COVID-19 poses for mortality risk in individuals with schizophrenia in low- and middle-income countries has only been the subject of a few studies. In this retrospective study, we examined the standardized mortality ratio (SMR), by age group and sex, in a cohort of patients diagnosed with schizophrenia (n = 20,417), with second-generation antipsychotics, in a South Brazilian State database (Paraná-Brazil). We performed a linkage with the Brazilian Mortality Information System database between 2020 and 2021. We also assessed in a logistic regression how clozapine could affect COVID-19 mortality controlling by sex, age, and presence of obesity. A secondary analysis was to compare mortality with SMR due to COVID-19 in individuals with and without obesity. Compared to the State population (8,850,682 individuals), those with schizophrenia had more than two times greater risk of dying from COVID-19 (SMR = 2.21, 95 % CI: 1.90-2.55). Between the ages of 16 and 29, their risk is more than ten times higher than the state population (SMR = 10.18, 95 % CI: 4.73-19.33). Obesity showed an almost twofold risk of dying from COVID-19 in the patient's group (OR = 1.89, 95 % CI: 1.39-2.57). Clozapine was not found as a protector or a risk factor for COVID-19 mortality. In Brazil, a middle-income nation, people with schizophrenia are more likely to die prematurely from COVID-19. The burden of schizophrenia is higher in younger and in patients with obesity.",Schizophrenia research,2024,Observational,Empirical
39028317,Assisted dying.,,International journal of palliative nursing,2024,Unclassified,Theoretical
39026237,Experience of care from the perspectives of inpatients with palliative care needs: a cross-sectional study using a patient reported experience measure (PREM).,"Improving palliative care for inpatients is urgently needed. Data from patient-reported experience measures (PREM) can assist in identifying areas for focused improvement. This study aimed to describe patient reported experience of care in inpatients with palliative care needs, to inform a baseline understanding of care experience and identify key areas for improvement.",BMC palliative care,2024,Observational,Empirical
39019922,Longitudinal experiences of Canadians receiving compassionate access to psilocybin-assisted psychotherapy.,"Recent clinical trials have found that the serotonergic psychedelic psilocybin effectively alleviates anxiodepressive symptoms in patients with life-threatening illnesses when given in a supportive environment. These outcomes prompted Canada to establish legal pathways for therapeutic access to psilocybin, coupled with psychological support. Despite over one-hundred Canadians receiving compassionate access since 2020, there has been little examination of these 'real-world' patients. We conducted a prospective longitudinal survey which focused on Canadians who were granted Section 56 exemptions for legal psilocybin-assisted psychotherapy. Surveys assessing various symptom dimensions were conducted at baseline, two weeks following the session (endpoint), and optionally one day post-session. Participant characteristics were examined using descriptive statistics, and paired sample t-tests were used to quantify changes from baseline to the two-week post-treatment endpoint. Eight participants with Section 56 exemptions (four females, M",Scientific reports,2024,Survey,Empirical
39012365,The Experiences of Migrant Care Workers in Long-term Care Facilities: A Scoping Review.,"The employment of migrant care workers provides a remedy to face the challenges of increased demand for care of older adults. A scoping review aimed to identify, categorize, and summarize the existing knowledge about migrant care workers' working experiences in long-term care facilities. Identifying gaps in the literature can inform future research. Five electronic databases were searched in April 2024 in addition to a manual search for articles published in English. Forty-five articles were reviewed. A few studies described migrant care assistants' main tasks as assisting physical care and care assistants' characteristics grouped into personal and acquired qualities to provide good quality care. Migrant care workers experienced work satisfaction, achievement, adaptability and adjustment, organizational support, work burden, sense of loneliness, low wages, low social status, and loss of profession. They faced challenges involving inadequate knowledge of palliative care, communication and language barriers, cultural and religious differences, and health concerns. Friendly and discriminatory relationships were found between migrant care workers and stakeholders. Existing evidence regarding the experiences of migrant care workers in delivering palliative care to dying residents or facilitating death preparation is limited. Additionally, there is a notable absence of data from the perspectives of employers and residents on discrimination issues. Further research is necessary to investigate these areas.",Journal of immigrant and minority health,2024,Unclassified,Empirical
38995203,"Analysis of the legal situation regarding euthanasia in Ecuador, Colombia, and Peru: Towards a Latin American model of medical assistance in dying?","Colombia was one of the first countries to decriminalise euthanasia. However, what is known in the international academic literature about the country's regulations is scarce and outdated. Such lack of information on the situation in Latin America is even more evident in the case of Peru, where the Lima Superior Court of Justice set a precedent by allowing a person to have access to euthanasia in 2021. Ecuador, which has just decriminalised euthanasia for all its citizens in February 2024, risks being similarly absent from the international dialogue. This article summarises for the first time all the regulations in force regarding euthanasia in Latin America, through a study of primary sources in Spanish, and analyses some of the convergences between these three neighbouring countries.",Developing world bioethics,2024,Unclassified,Empirical
38978832,"Views, Attitudes and Challenges When Supporting a Family Member in Their Decision to Travel to Switzerland to Receive Aid-In-Dying.","Exploring the experiences, perceptions and meanings of family members and close friends of Israeli individuals who sought aid-in-dying outside Israel.",International journal of public health,2024,Unclassified,Theoretical
38974806,Importance of investigating vulnerabilities in health and social service provision among requestors of medical assistance in dying.,,Lancet regional health. Americas,2024,Unclassified,Theoretical
38963252,Denial of Desire for Death in Dementia: Why Is Dementia Excluded from Australian Voluntary Assisted Dying Legislation?,"Euthanasia in the form of Voluntary Assisted Dying (VAD) is legal in all Australian States, but current eligibility criteria preclude access to people with dementia. This article discusses Australian VAD eligibility criteria that are problematic for people with dementia: (1) time until death within 12 months, (2) decision-making capacity for VAD, and (3) determination of intolerable suffering. Legislation in the Netherlands allows VAD for people with dementia. The challenges and philosophical issues raised by such cases are explored. It is proposed that the unique nature of dementia in its various forms warrants the formulation of dementia-specific VAD eligibility criteria. A case could be brought to challenge the denial of access to VAD of people with dementia on the basis that their exclusion is discriminatory and an abuse of human rights. If such a challenge was successful, it could form a common law precedent to allow people with dementia access to VAD.",Journal of law and medicine,2024,Unclassified,Theoretical
38963249,The Commonwealth Criminal Code: Will It Restrict Access to Voluntary Assisted Dying in South Australia And Is There a Way Forward?,"South Australia's Voluntary Assisted Dying Act 2021 commenced operation on 31 January 2023. However, ss 474.29A and 474.29B of the Criminal Code Act 1995 (Cth) prohibit the use of ""carriage services"" to promote or provide instructions about suicide and may impede access to voluntary assisted dying (VAD). Attempts to clarify whether VAD is suicide have been unsuccessful and doctors risk prosecution if they use telehealth to participate in VAD. This article examines specific steps in the VAD pathway that are likely to breach the federal law. Although there have been attempts to clarify what information can permissibly be discussed using a carriage service, doctors risk breaching the federal law at multiple stages of the VAD process. This article concludes arguing that this conflict of laws must be resolved and calls upon the Commonwealth Government to amend the Criminal Code to exclude VAD from the definition of suicide.",Journal of law and medicine,2024,Unclassified,Theoretical
38950570,"Response to Lyon: Oranges, apples and polarizing polemic.","In this paper we respond to the commentary, Human misconnection? A response to Beuthin and Bruce on Medical Assistance in Dying providers' lived experience, by C. Lyon. While spirited and respectful debate of topics of interest to society are important, we illustrate how Lyon offers a polarizing reaction to findings with which he simply does not agree. We surface how Lyon ignores the methodological context underpinning the interpretive findings of the original study. In so doing, he violates an important tenet of scholarly critique and renders his claims and motivation questionable. We argue that Lyon's commentary is an opinion piece disguised as scholarly critique that will limit thoughtful conversation about assisted dying that might otherwise engage and generate new understandings across difference.",Death studies,2024,Unclassified,Empirical
38949456,Medical oncologist perceptions and willingness to participate in voluntary assisted dying in South Australia.,"This study surveyed South Australian medical oncologists to capture their perceptions, willingness to participate and perceived barriers and motivations to participation in voluntary assisted dying (VAD) activities. Approximately 70% of surveyed medical oncologists reported familiarity with VAD legislation. Less than half of physicians (39.1%) reported willingness to participate in any VAD activities, and the rate of conscientious objection was 22%. The top barriers to participation were lack of time and uncertainty given no prior experience. These results demonstrate both a low rate of conscientious objection and a low rate of willingness to participate at the point of VAD implementation in South Australia, and identify barriers to participation that are largely logistical.",Internal medicine journal,2024,Survey,Empirical
38937089,"Between medicine, humanities and the law: compiling a living archive of assisted dying.","Stories about personal experiences of assisted dying, a term comprising both instances when a lethal substance is administered by a physician or by the patient themselves, are frequently cited in law-making processes. These experiences of healthcare systems and the laws governing end-of-life procedures thereby interactively influence the future of medicine at the deathbed. With more countries legalising some form of assisted dying or opening political debate about the issue, addressing how these personal stories shape public opinions and social institutions is timely. In this current controversy, we question how medical humanities researchers are to make sense of the role of these stories in law-making, and critically reflect on a digital archive that seeks to make these interconnections visible. At the methodological level, the reciprocal interactions in assisted dying between medicine, law and the arts urges us to reconsider the conceptual foundations of interdisciplinary research in the medical humanities.",Medical humanities,2024,Unclassified,Theoretical
38934930,Tension between continuous and deep sedation and assistance in dying: a national survey of intensive care professionals' perceptions.,"The situation in France is unique, having a legal framework for continuous and deep sedation (CDS). However, its use in intensive care units (ICU), combined with the withdrawal of life-sustaining therapies, still raises ethical issues, particularly its potential to hasten death. The legalization of assistance in dying, i.e., assisted suicide or euthanasia at the patient's request, is currently under discussion in France. The objectives of this national survey were first, to assess whether ICU professionals perceive CDS administered to ICU patients as a practice that hastens death, in addition to relieving unbearable suffering, and second, to assess ICU professionals' perceptions of assistance in dying.","Anaesthesia, critical care & pain medicine",2024,Survey,Theoretical
38934811,COVID-19-related Fears and Practices among Postnatal Women Availing Services at a Rural Maternity Hospital in South Karnataka.,"The postnatal period is a critical phase indeed, in which, owing to the pandemic, an added apprehension being the safety and well-being of both, mother and child. This study was mainly done to assess the attitude and practices regarding postnatal care during the Covid-19 pandemic among women availing services at Snehalaya hospital, Solur. It was a hospital based cross- sectional study done among post-natal mothers and data were collected using an interview schedule following sections such as- socio-demographic details, questions assessing the attitudes towards postnatal care during the pandemic followed by questions assessing the practices in the same period. It was found that of the total interviewed, nearly half mothers reported to have a fear of getting infected with Covid-19 and few reported to have a fear of deaths due to Covid-19. Fear of dying from Covid-19 was an evident finding seen more among the gainfully employed and those with bad obstetric history. The socioeconomic status did have a bearing on the perceptions towards the pandemic influence on the maternal and child health during the puerperal period.",Indian journal of public health,2023,Survey,Empirical
38919634,Assessing and managing patients with borderline personality disorder requesting medical assistance in dying.,"When physician assisted dying (referred to as Medical Assistance in Dying or MAiD in this article) is available for individuals with mental disorders as the sole underlying medical condition (MD-SUMC), patients with borderline personality disorder (BPD) frequently request MAiD. Psychiatrists and other clinicians must be prepared to evaluate and manage these requests.",Frontiers in psychiatry,2024,Unclassified,Theoretical
38911274,Evaluating Islet Cell Isolation and Transplantation From Donors Following Medical Assistance in Dying.,Limited information is available regarding outcomes of islet cell isolation (ICI) and transplantation (ITx) using medical assistance in dying (MAiD) donors. We aimed to assess the feasibility and outcomes of ICI and ITx in MAiD donors.,Transplantation direct,2024,Unclassified,Theoretical
38910003,When medical assistance in dying is not a last resort option: survey of the Canadian public.,What are the Canadian public's understanding of and views toward medical assistance in dying (MAID) in persons refusing recommended treatment or lacking access to standard treatment or resources?,BMJ open,2024,Survey,Theoretical
38907636,Supporting Bereaved Family Members: A Qualitative Interview Study on the Experience of Bereavement Counselling by the Bereavement Network Lower Saxony (BNLS) in Germany for Parents Who Have Lost Children or Teenagers.,"The ""Trauer Netzwerk Niedersachsen"" (""Bereavement Network Lower Saxony"" (BNLS)) aims at supporting families after the loss of a child or teenager due to various causes. This study aims to describe the experiences of bereaved family members with the BNLS counsellors. 12 semi-structured interviews were conducted with parents who had received or were currently receiving BNLS counselling. The interviews revealed the vital role counselling played aiding individuals cope with their grief. Participants valued the bereavement support, which was often lacking in their personal support networks. Counselling assisted parents in returning to daily life and caring for loved ones. Discussing ""death"" and ""dying"" helped participants find peace with their loss. Our findings suggest that bereavement counselling should be considered an essential component of healthcare for family members dealing with the loss of a child. Additionally, there is need for awareness and publicity for both the BNLS and its bereavement counselling services.",Omega,2024,"Survey, Qualitative",Empirical
38897835,The debate rages on: physician-assisted suicide in an ethical light. Response to Br J Anaesth 2024; 132:1179-83.,,British journal of anaesthesia,2024,Unclassified,Theoretical
38896003,Patients' and Caregivers' Suggestions for Improving Assisted Dying Regulation: A Qualitative Study in Australia and Canada.,"Assisted dying (AD) has been legalised in a small but growing number of jurisdictions globally, including Canada and Australia. Early research in both countries demonstrates that, in response to access barriers, patients and caregivers take action to influence their individual experience of AD, as well as AD systems more widely. This study analyses how patients and caregivers suggest other decision-makers in AD systems should address identified issues.",Health expectations : an international journal of public participation in health care and health policy,2024,Qualitative,Theoretical
38886985,'I tried to get into their shoes and their culture'. Care worker experiences in cultural end-of-life care: Interpretative phenomenological analysis.,What are care workers' lived experiences caring for people of culturally and linguistically diverse backgrounds during end-of-life care?,Journal of clinical nursing,2024,Qualitative,Empirical
38880708,"""How to navigate this new area"": Intensive care clinicians' perceptions of voluntary assisted dying in the intensive care unit: A multisite exploratory study.","There is growing momentum worldwide for assisted dying. In Australia, voluntary assisted dying may occur in any setting, including an intensive care unit (ICU). As the subject of much debate worldwide, exploring ICU clinicians' perceptions of assisted dying is essential.",Australian critical care : official journal of the Confederation of Australian Critical Care Nurses,2024,Unclassified,Theoretical
38877494,"For, against, and beyond: healthcare professionals' positions on Medical Assistance in Dying in Spain.","In 2021, Spain became the first Southern European country to grant and provide the right to euthanasia and medically assisted suicide. According to the law, the State has the obligation to ensure its access through the health services, which means that healthcare professionals' participation is crucial. Nevertheless, its implementation has been uneven. Our research focuses on understanding possible ethical conflicts that shape different positions towards the practice of Medical Assistance in Dying, on identifying which core ideas may be underlying them, and on suggesting possible reasons for this disparity. The knowledge acquired contributes to understanding its complexity, shedding light into ambivalent profiles and creating strategies to increase their participation.",BMC medical ethics,2024,Unclassified,Theoretical
38876926,Psychological distress and supportive care utilization in medical assistance in dying: A retrospective observational cohort study.,,General hospital psychiatry,2024,Observational,Theoretical
38875484,Euthanasia in detention and the ethics of caring solidarity: A case study of the 'Tarragona Gunman'.,"Almost a year after the enactment of the law regulating euthanasia in Spain, public opinion was shocked to learn that a defendant in criminal proceedings obtained medical assistance in dying following injuries sustained in an exchange of gunfire with the police after having committed a series of severe crimes. Although there are very few cases in the world where prisoners have received euthanasia, the one we will discuss in this article is the only known case where both the public prosecutor's office and the private prosecutors judicially opposed the defendant's euthanasia. This article aims to offer a new perspective on the ethical legitimacy of detainees' access to euthanasia: the ethics of caring solidarity. To do this, we will first place the case in its legal context. Subsequently, we will address the two main arguments proposed in the literature to justify euthanasia in detention: respect for the autonomy of the detainee and the principle of equivalence of care. Finally, after having identified serious shortcomings in both arguments, we will argue that the perspective of caring solidarity offers a better ethical basis for people in detention's access to euthanasia.",Bioethics,2024,Unclassified,Theoretical
38871403,Does voluntary assisted dying impact quality palliative care? A retrospective mixed-method study.,We aimed to explore the relationship between the pursuit of voluntary assisted dying (VAD) and the delivery of quality palliative care in an Australian state where VAD was newly available METHODS: We adopted a retrospective convergent mixed-methods design to gather and interpret data from records of 141 patients who expressed an interest in and did or did not pursue VAD over 2 years. Findings were correlated against quality domains.,BMJ supportive & palliative care,2024,Unclassified,Empirical
38869817,Nurses and Voluntary Assisted Dying: How the Australian Capital Territory's Law Could Change the Australian Regulatory Landscape.,"On June 5, 2024, the Australian Capital Territory passed a law to permit voluntary assisted dying (""VAD""). The Australian Capital Territory became the first Australian jurisdiction to permit nurse practitioners to assess eligibility for VAD. Given evidence of access barriers to VAD in Australia, including difficulty finding a doctor willing to assist, the Australian Capital Territory's approach should prompt consideration of whether the role of nurses in VAD should be expanded in other Australian jurisdictions. Drawing on lessons from Canada, which currently permits nurse practitioners to assess patient eligibility, we argue that the time has come for Australian jurisdictions to expand the role of nurses in VAD systems. This would be an important step in ensuring access to VAD for patients in practice. Attention, however, must also be paid to ensuring adequate remuneration of nurses (and doctors) if this goal of promoting access is to be achieved in practice.",Journal of bioethical inquiry,2024,Unclassified,Empirical
38863565,Knowledge and Perceptions of the End of Life among Tunisian Medical and Paramedical Staff.,End-of-life (EOL) care is a vulnerable period in an individual's life. Healthcare professionals (HPs) strive to balance the preservation of human life with respect for the patient's wishes. The aims of our study were to assess HPs' knowledge and perceptions of EOL care and to propose areas of improvement to improve the quality of care.,Journal of hospice and palliative care,2024,Unclassified,Theoretical
